DRAGON ver.5.4 - No. of variables: 1664				
No.	Rel.No.	Symbol	Definition	Class
1318	168	R7e	R autocorrelation of lag 7 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1319	169	R8e	R autocorrelation of lag 8 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1320	170	RTe	R total index / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1321	171	R1e+	R maximal autocorrelation of lag 1 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1322	172	R2e+	R maximal autocorrelation of lag 2 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1323	173	R3e+	R maximal autocorrelation of lag 3 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1324	174	R4e+	R maximal autocorrelation of lag 4 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1325	175	R5e+	R maximal autocorrelation of lag 5 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1326	176	R6e+	R maximal autocorrelation of lag 6 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1327	177	R7e+	R maximal autocorrelation of lag 7 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1328	178	R8e+	R maximal autocorrelation of lag 8 / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1329	179	RTe+	R maximal index / weighted by atomic Sanderson electronegativities	GETAWAY descriptors
1330	180	R1p	R autocorrelation of lag 1 / weighted by atomic polarizabilities	GETAWAY descriptors
1331	181	R2p	R autocorrelation of lag 2 / weighted by atomic polarizabilities	GETAWAY descriptors
1332	182	R3p	R autocorrelation of lag 3 / weighted by atomic polarizabilities	GETAWAY descriptors
1333	183	R4p	R autocorrelation of lag 4 / weighted by atomic polarizabilities	GETAWAY descriptors
1334	184	R5p	R autocorrelation of lag 5 / weighted by atomic polarizabilities	GETAWAY descriptors
1335	185	R6p	R autocorrelation of lag 6 / weighted by atomic polarizabilities	GETAWAY descriptors
1336	186	R7p	R autocorrelation of lag 7 / weighted by atomic polarizabilities	GETAWAY descriptors
1337	187	R8p	R autocorrelation of lag 8 / weighted by atomic polarizabilities	GETAWAY descriptors
1338	188	RTp	R total index / weighted by atomic polarizabilities	GETAWAY descriptors
1339	189	R1p+	R maximal autocorrelation of lag 1 / weighted by atomic polarizabilities	GETAWAY descriptors
1340	190	R2p+	R maximal autocorrelation of lag 2 / weighted by atomic polarizabilities	GETAWAY descriptors
1341	191	R3p+	R maximal autocorrelation of lag 3 / weighted by atomic polarizabilities	GETAWAY descriptors
1342	192	R4p+	R maximal autocorrelation of lag 4 / weighted by atomic polarizabilities	GETAWAY descriptors
1343	193	R5p+	R maximal autocorrelation of lag 5 / weighted by atomic polarizabilities	GETAWAY descriptors
1344	194	R6p+	R maximal autocorrelation of lag 6 / weighted by atomic polarizabilities	GETAWAY descriptors
1345	195	R7p+	R maximal autocorrelation of lag 7 / weighted by atomic polarizabilities	GETAWAY descriptors
1346	196	R8p+	R maximal autocorrelation of lag 8 / weighted by atomic polarizabilities	GETAWAY descriptors
1347	197	RTp+	R maximal index / weighted by atomic polarizabilities	GETAWAY descriptors
1348	1	nCp	number of terminal primary C(sp3)	functional group counts
1349	2	nCs	number of total secondary C(sp3)	functional group counts
1350	3	nCt	number of total tertiary C(sp3)	functional group counts
1351	4	nCq	number of total quaternary C(sp3)	functional group counts
1352	5	nCrs	number of ring secondary C(sp3)	functional group counts
1353	6	nCrt	number of ring tertiary C(sp3)	functional group counts
1354	7	nCrq	number of ring quaternary C(sp3)	functional group counts
1355	8	nCar	number of aromatic C(sp2)	functional group counts
1356	9	nCbH	number of unsubstituted benzene C(sp2)	functional group counts
1357	10	nCb-	number of substituted benzene C(sp2)	functional group counts
1358	11	nCconj	number of non-aromatic conjugated C(sp2)	functional group counts
1359	12	nR=Cp	number of terminal primary C(sp2)	functional group counts
1360	13	nR=Cs	number of aliphatic secondary C(sp2)	functional group counts
1361	14	nR=Ct	number of aliphatic tertiary C(sp2)	functional group counts
1362	15	n=C=	number of allenes groups	functional group counts
1363	16	nR#CH/X	number of terminal C(sp)	functional group counts
1364	17	nR#C-	number of non-terminal C(sp)	functional group counts
1365	18	nROCN	number of cyanates (aliphatic)	functional group counts
1366	19	nArOCN	number of cyanates (aromatic)	functional group counts
1367	20	nRNCO	number of isocyanates (aliphatic)	functional group counts
1368	21	nArNCO	number of isocyanates (aromatic)	functional group counts
1369	22	nRSCN	number of thiocyanates (aliphatic)	functional group counts
1370	23	nArSCN	number of thiocyanates (aromatic)	functional group counts
1371	24	nRNCS	number of isothiocyanates (aliphatic)	functional group counts
1372	25	nArNCS	number of isothiocyanates (aromatic)	functional group counts
1373	26	nRCOOH	number of carboxylic acids (aliphatic)	functional group counts
1374	27	nArCOOH	number of carboxylic acids (aromatic)	functional group counts
1375	28	nRCOOR	number of esters (aliphatic)	functional group counts
1376	29	nArCOOR	number of esters (aromatic)	functional group counts
1377	30	nRCONH2	number of primary amides (aliphatic)	functional group counts
1378	31	nArCONH2	number of primary amides (aromatic)	functional group counts
1379	32	nRCONHR	number of secondary amides (aliphatic)	functional group counts
1380	33	nArCONHR	number of secondary amides (aromatic)	functional group counts
1381	34	nRCONR2	number of tertiary amides (aliphatic)	functional group counts
1382	35	nArCONR2	number of tertiary amides (aromatic)	functional group counts
1383	36	nROCON	number of (thio-) carbamates (aliphatic)	functional group counts
1384	37	nArOCON	number of (thio-) carbamates (aromatic)	functional group counts
1385	38	nRCOX	number of acyl halogenides (aliphatic)	functional group counts
1386	39	nArCOX	number of acyl halogenides (aromatic)	functional group counts
1387	40	nRCSOH	number of thioacids (aliphatic)	functional group counts
1388	41	nArCSOH	number of thioacids (aromatic)	functional group counts
1389	42	nRCSSH	number of dithioacids (aliphatic)	functional group counts
1390	43	nArCSSH	number of dithioacids (aromatic)	functional group counts
1391	44	nRCOSR	number of thioesters (aliphatic)	functional group counts
1392	45	nArCOSR	number of thioesters (aromatic)	functional group counts
1393	46	nRCSSR	number of dithioesters (aliphatic)	functional group counts
1394	47	nArCSSR	number of dithioesters (aromatic)	functional group counts
1395	48	nRCHO	number of aldehydes (aliphatic)	functional group counts
1396	49	nArCHO	number of aldehydes (aromatic)	functional group counts
1397	50	nRCO	number of ketones (aliphatic)	functional group counts
1398	51	nArCO	number of ketones (aromatic)	functional group counts
1399	52	nCONN	number of urea (-thio) derivatives	functional group counts
1400	53	nC=O(O)2	number of carbonate (-thio) derivatives	functional group counts
1401	54	nN=C-N<	number of amidine derivatives	functional group counts
1402	55	nC(=N)N2	number of guanidine derivatives	functional group counts
1403	56	nRC=N	number of imines (aliphatic)	functional group counts
1404	57	nArC=N	number of imines (aromatic)	functional group counts
1405	58	nRCNO	number of oximes (aliphatic)	functional group counts
1406	59	nArCNO	number of oximes (aromatic)	functional group counts
1407	60	nRNH2	number of primary amines (aliphatic)	functional group counts
1408	61	nArNH2	number of primary amines (aromatic)	functional group counts
1409	62	nRNHR	number of secondary amines (aliphatic)	functional group counts
1410	63	nArNHR	number of secondary amines (aromatic)	functional group counts
1411	64	nRNR2	number of tertiary amines (aliphatic)	functional group counts
1412	65	nArNR2	number of tertiary amines (aromatic)	functional group counts
1413	66	nN-N	number of N hydrazines	functional group counts
1414	67	nN=N	number of N azo-derivatives	functional group counts
1415	68	nRCN	number of nitriles (aliphatic)	functional group counts
1416	69	nArCN	number of nitriles (aromatic)	functional group counts
1417	70	nN+	number of positively charged N	functional group counts
1418	71	nNq	number of quaternary N	functional group counts
1419	72	nRNHO	number of hydroxylamines (aliphatic)	functional group counts
1420	73	nArNHO	number of hydroxylamines (aromatic)	functional group counts
1421	74	nRNNOx	number of N-nitroso groups (aliphatic)	functional group counts
1422	75	nArNNOx	number of N-nitroso groups (aromatic)	functional group counts
1423	76	nRNO	number of nitroso groups (aliphatic)	functional group counts
1424	77	nArNO	number of nitroso groups (aromatic)	functional group counts
1425	78	nRNO2	number of nitro groups (aliphatic)	functional group counts
1426	79	nArNO2	number of nitro groups (aromatic)	functional group counts
1427	80	nN(CO)2	number of imides (-thio)	functional group counts
1428	81	nC=N-N<	number of hydrazones	functional group counts
1429	82	nROH	number of hydroxyl groups	functional group counts
1430	83	nArOH	number of aromatic hydroxyls	functional group counts
1431	84	nOHp	number of primary alcohols	functional group counts
1432	85	nOHs	number of secondary alcohols	functional group counts
1433	86	nOHt	number of tertiary alcohols	functional group counts
1434	87	nROR	number of ethers (aliphatic)	functional group counts
1435	88	nArOR	number of ethers (aromatic)	functional group counts
1436	89	nROX	number of hypohalogenides (aliphatic)	functional group counts
1437	90	nArOX	number of hypohalogenides (aromatic)	functional group counts
1438	91	nO(C=O)2	number of anhydrides (-thio)	functional group counts
1439	92	nH2O	number of water molecules	functional group counts
1440	93	nSH	number of thiols	functional group counts
1441	94	nC=S	number of thioketones	functional group counts
1442	95	nRSR	number of sulfides	functional group counts
1443	96	nRSSR	number of disulfides	functional group counts
1444	97	nSO	number of sulfoxides	functional group counts
1445	98	nS(=O)2	number of sulfones	functional group counts
1446	99	nSOH	number of sulfenic (thio-) acids	functional group counts
1447	100	nSOOH	number of sulfinic (thio-/dithio-) acids	functional group counts
1448	101	nSO2OH	number of sulfonic (thio-/dithio-) acids	functional group counts
1449	102	nSO3OH	number of sulfuric (thio-/dithio-) acids	functional group counts
1450	103	nSO2	number of sulfites (thio-/dithio-)	functional group counts
1451	104	nSO3	number of sulfonates (thio-/dithio-)	functional group counts
1452	105	nSO4	number of sulfates (thio-/dithio-)	functional group counts
1453	106	nSO2N	number of sulfonamides (thio-/dithio-)	functional group counts
1454	107	nPO3	number of phosphites/thiophosphites	functional group counts
1455	108	nPO4	number of phosphates/thiophosphates	functional group counts
1456	109	nPR3	number of phosphanes	functional group counts
1457	110	nP(=O)O2R	number of phosphonates (thio-)	functional group counts
1458	111	nP(=O)R3/nPR5	number of phosphoranes (thio-)	functional group counts
1459	112	nCH2RX	number of CH2RX	functional group counts
1460	113	nCHR2X	number of CHR2X	functional group counts
1461	114	nCR3X	number of CR3X	functional group counts
1462	115	nR=CHX	number of R=CHX	functional group counts
1463	116	nR=CRX	number of R=CRX	functional group counts
1464	117	nR#CX	number of R#CX	functional group counts
1465	118	nCHRX2	number of CHRX2	functional group counts
1466	119	nCR2X2	number of CR2X2	functional group counts
1467	120	nR=CX2	number of R=CX2	functional group counts
1468	121	nCRX3	number of CRX3	functional group counts
1469	122	nArX	number of X on aromatic ring	functional group counts
1470	123	nCXr	number of X on ring C(sp3)	functional group counts
1471	124	nCXr=	number of X on ring C(sp2)	functional group counts
1472	125	nCconjX	number of X on exo-conjugated C	functional group counts
1473	126	nAziridines	number of Aziridines	functional group counts
1474	127	nOxiranes	number of Oxiranes	functional group counts
1475	128	nThiranes	number of Thiranes	functional group counts
1476	129	nAzetidines	number of Azetidines	functional group counts
1477	130	nOxetanes	number of Oxetanes	functional group counts
1478	131	nThioethanes	number of Thioethanes	functional group counts
1479	132	nBeta-Lactams	number of Beta-Lactams	functional group counts
1480	133	nPyrrolidines	number of Pyrrolidines	functional group counts
1481	134	nOxolanes	number of Oxolanes	functional group counts
1482	135	ntH-Thiophenes	number of tetrahydro-thiophenes	functional group counts
1483	136	nPyrroles	number of Pyrroles	functional group counts
1484	137	nPyrazoles	number of Pyrazoles	functional group counts
1485	138	nImidazoles	number of Imidazoles	functional group counts
1486	139	nFuranes	number of Furanes	functional group counts
1487	140	nThiophenes	number of Thiophenes	functional group counts
1488	141	nOxazoles	number of Oxazoles	functional group counts
1489	142	nIsoxazoles	number of Isoxazoles	functional group counts
1490	143	nThiazoles	number of Thiazoles	functional group counts
1491	144	nIsothiazoles	number of Isothiazoles	functional group counts
1492	145	nTriazoles	number of Triazoles	functional group counts
1493	146	nPyridines	number of Pyridines	functional group counts
1494	147	nPyridazines	number of Pyridazines	functional group counts
1495	148	nPyrimidines	number of Pyrimidines	functional group counts
1496	149	nPyrazines	number of Pyrazines	functional group counts
1497	150	n135-Triazines	number of 1-3-5-Triazines	functional group counts
1498	151	n124-Triazines	number of 1-2-4-Triazines	functional group counts
1499	152	nHDon	number of donor atoms for H-bonds (N and O)	functional group counts
1500	153	nHAcc	number of acceptor atoms for H-bonds (N,O,F)	functional group counts
1501	154	nHBonds	number of intramolecular H-bonds (with N,O,F)	functional group counts
1502	1	C-001	CH3R / CH4	atom-centred fragments
1503	2	C-002	CH2R2	atom-centred fragments
1504	3	C-003	CHR3	atom-centred fragments
1505	4	C-004	CR4	atom-centred fragments
1506	5	C-005	CH3X	atom-centred fragments
1507	6	C-006	CH2RX	atom-centred fragments
1508	7	C-007	CH2X2	atom-centred fragments
1509	8	C-008	CHR2X	atom-centred fragments
1510	9	C-009	CHRX2	atom-centred fragments
1511	10	C-010	CHX3	atom-centred fragments
1512	11	C-011	CR3X	atom-centred fragments
1513	12	C-012	CR2X2	atom-centred fragments
1514	13	C-013	CRX3	atom-centred fragments
1515	14	C-014	CX4	atom-centred fragments
1516	15	C-015	 =CH2	atom-centred fragments
1517	16	C-016	 =CHR	atom-centred fragments
1518	17	C-017	 =CR2	atom-centred fragments
1519	18	C-018	 =CHX	atom-centred fragments
1520	19	C-019	 =CRX	atom-centred fragments
1521	20	C-020	 =CX2	atom-centred fragments
1522	21	C-021	#CH	atom-centred fragments
1523	22	C-022	#CR / R=C=R	atom-centred fragments
1524	23	C-023	#CX	atom-centred fragments
1525	24	C-024	R--CH--R	atom-centred fragments
1526	25	C-025	R--CR--R	atom-centred fragments
1527	26	C-026	R--CX--R	atom-centred fragments
1528	27	C-027	R--CH--X	atom-centred fragments
1529	28	C-028	R--CR--X	atom-centred fragments
1530	29	C-029	R--CX--X	atom-centred fragments
1531	30	C-030	X--CH--X	atom-centred fragments
1532	31	C-031	X--CR--X	atom-centred fragments
1533	32	C-032	X--CX--X	atom-centred fragments
1534	33	C-033	R--CH..X	atom-centred fragments
1535	34	C-034	R--CR..X	atom-centred fragments
1536	35	C-035	R--CX..X	atom-centred fragments
1537	36	C-036	Al-CH=X	atom-centred fragments
1538	37	C-037	Ar-CH=X	atom-centred fragments
1539	38	C-038	Al-C(=X)-Al	atom-centred fragments
1540	39	C-039	Ar-C(=X)-R	atom-centred fragments
1541	40	C-040	R-C(=X)-X / R-C#X / X=C=X	atom-centred fragments
1542	41	C-041	X-C(=X)-X	atom-centred fragments
1543	42	C-042	X--CH..X	atom-centred fragments
1544	43	C-043	X--CR..X	atom-centred fragments
1545	44	C-044	X--CX..X	atom-centred fragments
1546	45	U-045	undefined	atom-centred fragments
1547	46	H-046	H attached to C0(sp3) no X attached to next C	atom-centred fragments
1548	47	H-047	H attached to C1(sp3)/C0(sp2)	atom-centred fragments
1549	48	H-048	H attached to C2(sp3)/C1(sp2)/C0(sp)	atom-centred fragments
1550	49	H-049	H attached to C3(sp3)/C2(sp2)/C3(sp2)/C3(sp)	atom-centred fragments
1551	50	H-050	H attached to heteroatom	atom-centred fragments
1552	51	H-051	H attached to alpha-C	atom-centred fragments
1553	52	H-052	H attached to C0(sp3) with 1X attached to next C	atom-centred fragments
1554	53	H-053	H attached to C0(sp3) with 2X attached to next C	atom-centred fragments
1555	54	H-054	H attached to C0(sp3) with 3X attached to next C	atom-centred fragments
1556	55	H-055	H attached to C0(sp3) with 4X attached to next C	atom-centred fragments
1557	56	O-056	alcohol	atom-centred fragments
1558	57	O-057	phenol / enol / carboxyl OH	atom-centred fragments
1559	58	O-058	#NOME?	atom-centred fragments
1560	59	O-059	Al-O-Al	atom-centred fragments
1561	60	O-060	Al-O-Ar / Ar-O-Ar / R..O..R / R-O-C=X	atom-centred fragments
1562	61	O-061	O--	atom-centred fragments
1563	62	O-062	O- (negatively charged)	atom-centred fragments
1564	63	O-063	R-O-O-R	atom-centred fragments
1565	64	Se-064	Any-Se-Any	atom-centred fragments
1566	65	Se-065	#NOME?	atom-centred fragments
1567	66	N-066	Al-NH2	atom-centred fragments
1568	67	N-067	Al2-NH	atom-centred fragments
1569	68	N-068	Al3-N	atom-centred fragments
1570	69	N-069	Ar-NH2 / X-NH2	atom-centred fragments
1571	70	N-070	Ar-NH-Al	atom-centred fragments
1572	71	N-071	Ar-NAl2	atom-centred fragments
1573	72	N-072	RCO-N< / >N-X=X	atom-centred fragments
1574	73	N-073	Ar2NH / Ar3N / Ar2N-Al / R..N..R	atom-centred fragments
1575	74	N-074	R#N / R=N-	atom-centred fragments
1576	75	N-075	R--N--R / R--N--X	atom-centred fragments
1577	76	N-076	Ar-NO2 / R--N(--R)--O / RO-NO	atom-centred fragments
1578	77	N-077	Al-NO2	atom-centred fragments
1579	78	N-078	Ar-N=X / X-N=X	atom-centred fragments
1580	79	N-079	N+ (positively charged)	atom-centred fragments
1581	80	U-080	undefined	atom-centred fragments
1582	81	F-081	F attached to C1(sp3)	atom-centred fragments
1583	82	F-082	F attached to C2(sp3)	atom-centred fragments
1584	83	F-083	F attached to C3(sp3)	atom-centred fragments
1585	84	F-084	F attached to C1(sp2)	atom-centred fragments
1586	85	F-085	F attached to C2(sp2)-C4(sp2)/C1(sp)/C4(sp3)/X	atom-centred fragments
1587	86	Cl-086	Cl attached to C1(sp3)	atom-centred fragments
1588	87	Cl-087	Cl attached to C2(sp3)	atom-centred fragments
1589	88	Cl-088	Cl attached to C3(sp3)	atom-centred fragments
1590	89	Cl-089	Cl attached to C1(sp2)	atom-centred fragments
1591	90	Cl-090	Cl attached to C2(sp2)-C4(sp2)/C1(sp)/C4(sp3)/X	atom-centred fragments
1592	91	Br-091	Br attached to C1(sp3)	atom-centred fragments
1593	92	Br-092	Br attached to C2(sp3)	atom-centred fragments
1594	93	Br-093	Br attached to C3(sp3)	atom-centred fragments
1595	94	Br-094	Br attached to C1(sp2)	atom-centred fragments
1596	95	Br-095	Br attached to C2(sp2)-C4(sp2)/C1(sp)/C4(sp3)/X	atom-centred fragments
1597	96	I-096	I attached to C1(sp3)	atom-centred fragments
1598	97	I-097	I attached to C2(sp3)	atom-centred fragments
1599	98	I-098	I attached to C3(sp3)	atom-centred fragments
1600	99	I-099	I attached to C1(sp2)	atom-centred fragments
1601	100	I-100	I attached to C2(sp2)-C4(sp2)/C1(sp)/C4(sp3)/X	atom-centred fragments
1602	101	F-101	fluoride ion	atom-centred fragments
1603	102	Cl-102	chloride ion	atom-centred fragments
1604	103	Br-103	bromide ion	atom-centred fragments
1605	104	I-104	iodide ion	atom-centred fragments
1606	105	U-105	undefined	atom-centred fragments
1607	106	S-106	R-SH	atom-centred fragments
1608	107	S-107	R2S / RS-SR	atom-centred fragments
1609	108	S-108	R=S	atom-centred fragments
1610	109	S-109	R-SO-R	atom-centred fragments
1611	110	S-110	R-SO2-R	atom-centred fragments
1612	111	Si-111	>Si<	atom-centred fragments
1613	112	B-112	>B- as in boranes	atom-centred fragments
1614	113	U-113	undefined	atom-centred fragments
1615	114	U-114	undefined	atom-centred fragments
1616	115	P-115	P ylids	atom-centred fragments
1617	116	P-116	R3-P=X	atom-centred fragments
1618	117	P-117	X3-P=X (phosphate)	atom-centred fragments
1619	118	P-118	PX3 (phosphite)	atom-centred fragments
1620	119	P-119	PR3 (phosphine)	atom-centred fragments
1621	120	P-120	C-P(X)2=X (phosphonate)	atom-centred fragments
1622	1	qpmax	maximum positive charge	charge descriptors
1623	2	qnmax	maximum negative charge	charge descriptors
1624	3	Qpos	total positive charge	charge descriptors
1625	4	Qneg	total negative charge	charge descriptors
1626	5	Qtot	total absolute charge (electronic charge index - ECI)	charge descriptors
1627	6	Qmean	mean absolute charge (charge polarization)	charge descriptors
1628	7	Q2	total squared charge	charge descriptors
1629	8	RPCG	relative positive charge	charge descriptors
1630	9	RNCG	relative negative charge	charge descriptors
1631	10	SPP	submolecular polarity parameter	charge descriptors
1632	11	TE1	topological electronic descriptor	charge descriptors
1633	12	TE2	topological electronic descriptor (bond resctricted)	charge descriptors
1634	13	PCWTe	partial charge weighted topological electronic descriptor	charge descriptors
1635	14	LDI	local dipole index	charge descriptors
1636	1	Ui	unsaturation index	molecular properties
1637	2	Hy	hydrophilic factor	molecular properties
1638	3	AMR	Ghose-Crippen molar refractivity	molecular properties
1639	4	TPSA(NO)	topological polar surface area using N,O polar contributions	molecular properties
1640	5	TPSA(Tot)	topological polar surface area using N,O,S,P polar contributions	molecular properties
1641	6	MLOGP	Moriguchi octanol-water partition coeff. (logP)	molecular properties
1642	7	MLOGP2	Squared Moriguchi octanol-water partition coeff. (logP^2)	molecular properties
1643	8	ALOGP	Ghose-Crippen octanol-water partition coeff. (logP)	molecular properties
1644	9	ALOGP2	Squared Ghose-Crippen octanol-water partition coeff. (logP^2)	molecular properties
1645	10	LAI	Lipinski Alert index	molecular properties
1646	11	GVWAI-80	Ghose-Viswanadhan-Wendoloski drug-like index at 80%	molecular properties
1647	12	GVWAI-50	Ghose-Viswanadhan-Wendoloski drug-like index at 50%	molecular properties
1648	13	Inflammat-80	Ghose-Viswanadhan-Wendoloski antiinflammatory-like index at 80%	molecular properties
1649	14	Inflammat-50	Ghose-Viswanadhan-Wendoloski antiinflammatory-like index at 50%	molecular properties
1650	15	Depressant-80	Ghose-Viswanadhan-Wendoloski antidepressant-like index at 80%	molecular properties
1651	16	Depressant-50	Ghose-Viswanadhan-Wendoloski antidepressant-like index at 50%	molecular properties
1652	17	Psychotic-80	Ghose-Viswanadhan-Wendoloski antipsychotic-like index at 80%	molecular properties
1653	18	Psychotic-50	Ghose-Viswanadhan-Wendoloski antipsychotic-like index at 50%	molecular properties
1654	19	Hypertens-80	Ghose-Viswanadhan-Wendoloski antihypertensive-like index at 80%	molecular properties
1655	20	Hypertens-50	Ghose-Viswanadhan-Wendoloski antihypertensive-like index at 50%	molecular properties
1656	21	Hypnotic-80	Ghose-Viswanadhan-Wendoloski hypnotic-like index at 80%	molecular properties
1657	22	Hypnotic-50	Ghose-Viswanadhan-Wendoloski hypnotic-like index at 50%	molecular properties
1658	23	Neoplastic-80	Ghose-Viswanadhan-Wendoloski antineoplastic-like index at 80%	molecular properties
1659	24	Neoplastic-50	Ghose-Viswanadhan-Wendoloski antineoplastic-like index at 50%	molecular properties
1660	25	Infective-80	Ghose-Viswanadhan-Wendoloski antiinfective-like index at 80%	molecular properties
1661	26	Infective-50	Ghose-Viswanadhan-Wendoloski antiinfective-like index at 50%	molecular properties
1662	27	BLTF96	Verhaar model of Fish base-line toxicity from MLOGP (mmol/l)	molecular properties
1663	28	BLTD48	Verhaar model of Daphnia base-line toxicity from MLOGP (mmol/l)	molecular properties
1664	29	BLTA96	Verhaar model of Algae base-line toxicity from MLOGP (mmol/l)	molecular properties
